Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
IT;Australia;Level 2-4;0;0.4;0.42;6;218;3;0;0;0;medium;M;24
Warehouse;Australia;Level 2-4;0;0.4;0.42;3;104;2;0;0;0;medium;F;16
Operations;Colombia;Level 2-4;0;0.4;0.42;4;256;5;0;0;0;low;F;22
Sales;France;Level 2-4;1;0.4;0.42;5;210;5;0;0;0;low;M;42
Finance;Colombia;Level 2-4;1;0.4;0.42;4;108;4;0;0;0;low;F;38
Human Resources;Japan;Level 2-4;0;0.4;0.42;2;275;6;1;0;1;medium;M;28
IT;Korea;Level 2-4;1;0.4;0.42;2;103;8;0;0;0;medium;F;61
Warehouse;Japan;Level 2-4;1;0.4;0.42;3;182;3;1;0;0;low;F;54
Operations;Colombia;Level 2-4;0;0.4;0.42;4;156;7;0;0;0;high;M;16
Sales;UK;Level 2-4;1;0.4;0.42;6;173;7;0;0;0;medium;F;2
Finance;China;Level 2-4;0;0.4;0.42;3;145;4;0;0;1;medium;M;51
Human Resources;UK;Level 2-4;1;0.4;0.42;2;109;6;0;0;0;low;M;24
IT;UK;Level 2-4;1;0.4;0.42;3;104;2;0;0;0;medium;F;37
Warehouse;Australia;Level 2-4;0;0.4;0.42;4;256;5;0;0;0;low;M;45
Operations;France;Level 2-4;1;0.4;0.42;5;210;5;0;0;0;low;F;61
Sales;US;Level 2-4;1;0.4;0.42;4;108;4;0;0;0;low;M;5
Finance;Japan;Level 2-4;0;0.4;0.42;2;275;6;1;0;1;medium;F;28
Human Resources;Turkey;Level 2-4;1;0.4;0.42;2;103;8;0;0;0;medium;F;5
IT;US;Level 2-4;1;0.4;0.42;3;182;3;1;0;0;low;F;48
Warehouse;US;Level 2-4;0;0.4;0.42;4;156;7;0;0;0;high;M;64
Operations;Japan;Level 2-4;0;0.4;0.42;6;173;7;0;0;0;medium;M;9
Sales;China;Level 2-4;0;0.4;0.42;3;145;4;0;0;1;medium;F;47
Finance;Turkey;Level 2-4;0;0.4;0.42;2;109;6;0;0;0;low;M;15
Human Resources;Australia;Level 2-4;1;0.4;0.43;6;246;4;0;0;0;medium;M;48
IT;France;Level 2-4;0;0.4;0.43;2;199;2;0;0;0;medium;F;5
Warehouse;US;Level 2-4;1;0.4;0.43;4;165;5;0;0;0;low;M;4
Operations;China;Level 2-4;1;0.4;0.43;3;173;3;0;0;0;low;F;24
Sales;China;Level 2-4;1;0.4;0.43;2;155;2;0;0;0;low;F;47
Finance;Japan;Level 2-4;1;0.4;0.43;2;160;6;0;0;0;medium;F;49
Human Resources;UK;Level 2-4;1;0.4;0.43;3;204;4;0;0;0;medium;M;60
IT;Japan;Level 2-4;0;0.4;0.43;3;192;2;0;0;0;low;F;24
Warehouse;China;Level 2-4;0;0.4;0.43;3;162;4;0;0;0;medium;M;18
Operations;Turkey;Level 2-4;1;0.4;0.43;6;132;3;0;0;0;low;M;57
Sales;UK;Level 2-4;0;0.4;0.43;4;258;3;0;0;0;low;F;29
Finance;Colombia;Level 2-4;1;0.4;0.43;3;184;2;0;0;0;medium;F;9
Human Resources;France;Level 2-4;0;0.4;0.43;3;167;3;0;0;0;medium;M;50
IT;France;Level 2-4;0;0.4;0.43;3;161;2;1;0;0;medium;M;37
Warehouse;France;Level 2-4;1;0.4;0.43;2;106;2;0;0;1;high;F;31
Operations;US;Level 2-4;1;0.4;0.43;3;120;6;1;0;0;medium;F;8
Sales;UK;Level 2-4;0;0.4;0.43;4;215;4;1;0;0;low;M;21
Finance;Turkey;Level 2-4;0;0.4;0.43;3;154;3;0;0;0;low;F;37
Human Resources;Colombia;Level 2-4;1;0.4;0.43;5;210;4;1;0;0;medium;F;3
IT;France;Level 2-4;0;0.4;0.43;2;222;4;0;0;0;high;M;3
Warehouse;US;Level 2-4;0;0.4;0.43;2;100;6;0;0;0;medium;F;32
Operations;Turkey;Level 2-4;0;0.4;0.43;2;139;3;0;0;0;high;M;5
Sales;China;Level 2-4;1;0.4;0.43;4;117;5;1;0;0;medium;M;49
Finance;US;Level 2-4;1;0.4;0.43;4;265;6;0;0;0;high;M;61
Human Resources;UK;Level 2-4;0;0.4;0.43;2;169;3;0;0;0;medium;M;25
IT;France;Level 2-4;1;0.4;0.43;6;253;3;0;0;0;high;F;53
Warehouse;Turkey;Level 2-4;0;0.4;0.43;6;283;2;0;0;0;low;M;50
Operations;Japan;Level 2-4;0;0.4;0.43;3;96;3;0;0;0;low;F;12
Sales;Australia;Level 2-4;1;0.4;0.43;3;194;2;1;0;0;medium;F;18
Finance;Australia;Level 2-4;1;0.4;0.43;3;128;3;0;0;0;medium;F;53
Human Resources;Japan;Level 1;1;0.4;0.43;6;175;3;0;0;0;low;M;41
IT;Colombia;Level 1;0;0.4;0.43;3;171;3;0;0;0;medium;F;13
Warehouse;Colombia;Level 1;0;0.4;0.43;3;120;3;0;0;0;high;M;24
Operations;Japan;Level 1;1;0.4;0.43;3;224;6;0;0;0;low;M;30
Sales;Colombia;Level 1;0;0.4;0.43;5;269;3;0;0;0;medium;F;52
Finance;Turkey;Level 1;0;0.4;0.43;2;238;3;0;0;0;low;M;11
Human Resources;Colombia;Level 1;0;0.4;0.43;4;253;4;0;0;0;medium;M;13
IT;Colombia;Level 1;0;0.4;0.43;2;249;3;0;0;0;low;F;26
Warehouse;Japan;Level 1;1;0.4;0.43;3;176;3;0;0;0;low;F;2
Operations;Korea;Level 1;1;0.4;0.43;3;188;7;0;0;0;medium;F;10
Sales;Colombia;Level 1;1;0.4;0.43;5;175;2;1;0;0;high;F;23
Finance;China;Level 1;0;0.4;0.43;4;275;3;0;0;0;low;M;25
Human Resources;China;Level 1;1;0.4;0.43;4;246;3;0;0;0;low;M;2
IT;Turkey;Level 1;1;0.4;0.43;5;113;8;0;0;0;medium;M;33
Warehouse;France;Level 1;0;0.4;0.43;3;176;3;0;0;0;low;M;13
Operations;France;Level 1;1;0.4;0.43;3;188;7;0;0;0;medium;M;50
Sales;Colombia;Level 1;0;0.4;0.43;5;175;2;1;0;0;high;F;21
Finance;Japan;Level 1;0;0.4;0.43;4;275;3;0;0;0;low;F;33
Human Resources;Australia;Level 1;0;0.4;0.43;4;246;3;0;0;0;low;F;53
IT;Korea;Level 1;1;0.4;0.43;5;113;8;0;0;0;medium;F;63
Warehouse;China;Level 1;0;0.4;0.44;2;194;6;0;0;0;medium;F;46
Operations;Turkey;Level 1;0;0.4;0.44;3;137;3;0;0;0;medium;M;9
Sales;Korea;Level 1;0;0.4;0.44;3;129;2;0;0;0;medium;M;41
Finance;France;Level 1;0;0.4;0.44;3;166;6;0;0;0;low;M;32
Human Resources;Turkey;Level 1;1;0.4;0.44;4;163;6;0;0;0;high;F;37
IT;UK;Level 1;1;0.4;0.44;5;212;4;0;0;0;low;M;46
Warehouse;Japan;Level 1;1;0.4;0.44;3;119;2;0;0;0;low;F;19
Operations;China;Level 1;1;0.4;0.44;4;192;4;1;0;0;low;M;15
Sales;Korea;Level 1;0;0.4;0.44;2;131;2;0;0;0;low;M;62
Finance;China;Level 1;1;0.4;0.44;6;104;6;0;0;0;low;M;17
Human Resources;Korea;VP;0;0.4;0.44;5;152;5;0;0;0;low;M;5
IT;Colombia;Senior Director;0;0.4;0.44;3;121;4;0;0;0;low;M;62
Warehouse;France;Senior Director;0;0.4;0.44;4;114;4;0;0;0;medium;F;19
Operations;Japan;Senior Director;0;0.4;0.44;3;199;2;0;0;0;low;M;32
Sales;France;Director;0;0.4;0.44;3;126;2;0;0;0;medium;F;6
Finance;China;Director;0;0.4;0.44;5;128;4;1;0;0;medium;M;13
Human Resources;France;Director;1;0.4;0.44;5;213;3;0;0;0;low;M;61
IT;Korea;Director;1;0.4;0.44;2;130;3;0;0;0;low;M;56
Warehouse;US;Director;0;0.4;0.44;4;194;2;1;0;0;low;F;32
Operations;UK;Director;0;0.4;0.44;5;255;5;1;0;0;low;F;47
Sales;US;Senior Manager;1;0.4;0.44;2;207;4;0;0;0;low;M;26
Finance;Japan;Senior Manager;1;0.4;0.44;3;97;4;0;0;0;medium;F;37
Human Resources;Colombia;Senior Manager;1;0.4;0.44;5;165;3;0;0;0;medium;M;25
IT;Korea;Senior Manager;1;0.4;0.44;4;166;4;1;0;0;low;M;59
Warehouse;UK;Senior Manager;0;0.4;0.44;5;190;5;0;0;0;medium;F;41
Operations;UK;Senior Manager;1;0.4;0.44;5;169;3;1;0;0;medium;F;5
Sales;Australia;Senior Manager;0;0.4;0.44;2;236;3;0;0;0;medium;F;8
Finance;France;Senior Manager;0;0.4;0.44;3;153;2;0;0;0;low;M;19
Human Resources;Australia;Senior Manager;0;0.4;0.44;5;155;3;0;0;0;medium;M;24
IT;US;Senior Manager;1;0.4;0.44;4;170;2;0;0;0;low;F;19
Warehouse;Colombia;Senior Manager;0;0.4;0.44;4;154;6;1;0;0;medium;F;54
Operations;UK;Senior Manager;0;0.4;0.44;3;183;2;0;0;0;medium;M;14
Sales;US;Manager;1;0.4;0.44;2;141;7;1;0;1;high;F;32
Finance;Japan;Manager;1;0.4;0.44;5;131;5;1;0;0;medium;F;5
Human Resources;Korea;Manager;1;0.4;0.44;3;260;8;0;0;0;low;F;65
IT;UK;Manager;1;0.4;0.44;2;236;3;0;0;0;medium;F;59
Warehouse;US;Manager;0;0.4;0.44;3;153;2;0;0;0;low;M;58
Operations;UK;Manager;0;0.4;0.44;5;155;3;0;0;0;medium;F;46
Sales;US;Manager;0;0.4;0.44;4;170;2;0;0;0;low;F;52
Finance;Turkey;Manager;0;0.4;0.44;4;154;6;1;0;0;medium;F;59
Human Resources;US;Manager;1;0.4;0.44;3;183;2;0;0;0;medium;F;41
IT;China;Manager;1;0.4;0.44;2;141;7;1;0;1;high;M;9
Warehouse;Korea;Manager;0;0.4;0.44;5;131;5;1;0;0;medium;M;22
Operations;Turkey;Manager;1;0.4;0.44;3;260;8;0;0;0;low;F;18
Sales;Turkey;Manager;0;0.4;0.45;2;132;3;0;1;0;low;M;40
Finance;UK;Manager;1;0.4;0.45;2;151;3;0;1;0;low;M;44
Human Resources;US;Manager;0;0.4;0.45;2;132;3;0;1;0;low;M;52
IT;Korea;Manager;0;0.4;0.45;2;135;3;0;1;0;low;M;9
Warehouse;UK;Manager;0;0.4;0.45;2;156;3;0;1;0;medium;F;52
Operations;Turkey;Manager;1;0.4;0.45;2;131;3;0;1;0;low;M;16
Sales;US;Manager;0;0.4;0.45;2;142;3;0;1;0;low;F;40
Finance;Australia;Manager;0;0.4;0.45;2;156;3;0;1;0;medium;M;42
Human Resources;Turkey;Manager;0;0.4;0.45;6;218;4;0;1;0;low;F;43
IT;China;Manager;1;0.4;0.45;2;126;3;0;1;0;medium;F;37
Warehouse;Colombia;Level 2-4;0;0.4;0.45;2;144;3;1;1;0;low;F;3
Operations;Australia;Level 2-4;1;0.4;0.45;2;154;3;1;1;0;medium;M;19
Sales;Australia;Level 2-4;1;0.4;0.45;2;134;3;0;1;0;medium;F;46
Finance;Japan;Level 2-4;0;0.4;0.45;2;156;3;0;1;0;medium;F;63
Human Resources;Colombia;Level 2-4;0;0.4;0.45;2;127;3;0;1;0;low;F;48
IT;China;Level 2-4;0;0.4;0.45;2;129;3;0;1;0;medium;M;49
Warehouse;Turkey;Level 2-4;1;0.4;0.45;2;138;3;0;1;1;low;F;10
Operations;Japan;Level 2-4;0;0.4;0.45;2;160;3;0;1;0;medium;M;48
Sales;Colombia;Level 2-4;0;0.4;0.45;2;150;3;0;1;0;medium;F;1
Finance;Korea;Level 2-4;0;0.4;0.45;2;140;3;0;1;0;low;M;22
Human Resources;Australia;Level 2-4;1;0.4;0.45;2;127;3;0;1;0;low;F;46
IT;Australia;Level 2-4;0;0.4;0.45;2;142;3;0;1;0;low;F;34
Warehouse;UK;Level 2-4;1;0.4;0.45;2;140;3;0;1;0;low;M;30
Operations;Turkey;Level 2-4;1;0.4;0.45;2;145;3;0;1;0;medium;M;7
Sales;UK;Level 2-4;0;0.4;0.45;2;143;3;0;1;0;low;F;63
Finance;China;Level 2-4;0;0.4;0.45;2;131;3;0;1;0;low;M;39
Human Resources;Turkey;Level 2-4;1;0.4;0.45;2;140;3;0;1;0;low;M;42
IT;France;Level 2-4;1;0.4;0.45;2;146;3;0;1;0;medium;F;19
Warehouse;France;Level 2-4;1;0.4;0.45;4;128;2;0;1;0;low;M;24
Operations;France;Level 2-4;1;0.4;0.45;2;151;3;0;1;0;low;F;25
Sales;Korea;Level 2-4;1;0.4;0.45;2;132;3;0;1;0;medium;F;20
Finance;Australia;Level 2-4;1;0.4;0.45;2;149;3;0;1;0;low;M;59
Human Resources;Japan;Level 2-4;0;0.4;0.45;2;140;3;0;1;0;medium;F;17
IT;Colombia;Level 2-4;0;0.4;0.45;6;239;3;0;0;0;low;F;60
Warehouse;US;Level 2-4;0;0.4;0.45;6;232;2;1;0;0;low;F;51
Operations;UK;Level 2-4;0;0.4;0.45;3;225;2;0;0;0;low;M;2
Sales;France;Level 2-4;0;0.4;0.45;4;241;6;0;0;0;medium;F;47
Finance;US;Level 2-4;0;0.4;0.45;3;189;2;0;0;0;medium;M;1
Human Resources;Korea;Level 2-4;0;0.4;0.45;4;180;3;0;0;0;medium;F;57
IT;China;Level 2-4;1;0.4;0.45;2;157;3;0;0;0;medium;M;36
Warehouse;UK;Level 2-4;1;0.4;0.45;2;145;3;0;0;0;low;M;24
Operations;Korea;Level 2-4;1;0.4;0.45;3;133;2;1;0;0;medium;M;58
Sales;Turkey;Level 2-4;1;0.4;0.45;2;124;3;0;0;0;low;M;59
Finance;UK;Level 2-4;1;0.4;0.45;5;177;6;0;0;0;medium;M;30
Human Resources;US;Level 2-4;1;0.4;0.45;3;253;6;0;0;1;medium;F;10
IT;France;Level 2-4;1;0.4;0.45;3;239;4;0;0;0;low;F;57
Warehouse;Australia;Level 2-4;0;0.4;0.45;5;274;2;1;0;0;medium;F;1
Operations;China;Level 2-4;0;0.4;0.45;2;172;2;1;0;0;low;M;8
Sales;UK;Level 2-4;0;0.4;0.45;6;100;5;1;0;0;medium;M;11
Finance;France;Level 2-4;1;0.4;0.45;5;232;4;0;0;0;low;F;13
Human Resources;Korea;Level 2-4;1;0.4;0.45;4;168;2;0;0;0;low;M;53
IT;Colombia;Level 2-4;1;0.4;0.45;3;173;2;0;0;0;low;F;20
Warehouse;Colombia;Level 2-4;1;0.4;0.45;2;211;3;0;0;0;low;F;1
Operations;Turkey;Level 2-4;0;0.4;0.45;2;188;3;0;0;0;low;F;51
Sales;China;Level 2-4;1;0.4;0.45;5;187;2;0;0;0;low;F;17
Finance;China;Level 2-4;1;0.4;0.45;6;98;3;0;0;0;low;M;62
Human Resources;Japan;Level 2-4;0;0.4;0.45;6;237;6;0;0;0;medium;F;50
IT;Turkey;Level 2-4;0;0.4;0.45;3;263;2;0;0;0;low;M;20
Warehouse;China;Level 2-4;0;0.4;0.45;4;137;3;1;0;0;medium;F;33
Operations;Colombia;Level 2-4;0;0.4;0.45;2;119;3;0;0;0;medium;F;11
Sales;US;Level 2-4;1;0.4;0.45;3;114;3;0;0;0;high;F;29
Finance;Australia;Level 2-4;0;0.4;0.45;5;140;5;0;0;0;low;F;6
Human Resources;US;Level 2-4;0;0.4;0.45;5;131;6;0;0;0;low;M;27
IT;Korea;Level 2-4;1;0.4;0.45;2;135;3;1;0;0;high;F;7
Warehouse;US;Level 2-4;0;0.4;0.45;3;131;2;0;0;0;low;F;40
Operations;Colombia;Level 2-4;1;0.4;0.45;2;171;2;0;0;0;low;M;38
Sales;Japan;Level 2-4;1;0.4;0.45;3;277;2;1;0;0;high;M;13
Finance;Korea;Level 2-4;0;0.4;0.45;3;228;5;0;0;0;medium;F;20
Human Resources;US;Level 2-4;0;0.4;0.45;4;143;6;0;0;0;medium;M;60
IT;France;Level 2-4;0;0.4;0.45;3;184;3;0;0;0;medium;M;49
Warehouse;Australia;Level 2-4;0;0.4;0.45;4;113;3;0;0;0;low;M;22
Operations;China;Level 2-4;0;0.4;0.45;3;236;2;0;0;0;medium;F;58
Sales;Turkey;Level 2-4;0;0.4;0.45;3;135;6;0;0;0;low;F;30
Finance;US;Level 1;1;0.4;0.45;4;147;2;0;0;0;medium;M;49
Human Resources;US;Level 1;1;0.4;0.45;3;227;3;0;0;0;medium;M;43
IT;China;Level 1;0;0.4;0.45;3;179;2;1;0;0;low;F;33
Warehouse;Japan;Level 1;1;0.4;0.45;3;100;8;1;0;0;medium;M;57
Operations;UK;Level 1;0;0.4;0.45;3;104;4;0;0;0;low;F;45
Sales;Australia;Level 1;1;0.4;0.45;2;132;3;0;1;0;low;M;44
Finance;UK;Level 1;0;0.4;0.45;2;151;3;0;1;0;low;F;56
Human Resources;Japan;Level 1;0;0.4;0.45;2;132;3;0;1;0;low;F;57
IT;Colombia;Level 1;0;0.4;0.45;2;135;3;0;1;0;low;M;25
Warehouse;Turkey;Level 1;0;0.4;0.45;2;156;3;0;1;0;medium;M;63
Operations;France;Level 1;1;0.4;0.45;2;131;3;0;1;0;low;M;5
Sales;US;Level 1;0;0.4;0.45;2;142;3;0;1;0;low;F;65
Finance;Korea;Level 1;0;0.4;0.45;2;156;3;0;1;0;medium;F;58
Human Resources;Colombia;Level 1;1;0.4;0.45;6;218;4;0;1;0;low;F;41
IT;Colombia;Level 1;0;0.4;0.45;2;126;3;0;1;0;medium;F;59
Warehouse;Japan;Level 1;0;0.4;0.45;2;144;3;1;1;0;low;M;13
Operations;UK;Level 1;0;0.4;0.45;2;154;3;1;1;0;medium;F;48
Sales;Korea;Level 1;1;0.4;0.45;2;134;3;0;1;0;medium;F;60
Finance;US;Level 1;0;0.4;0.45;2;156;3;0;1;0;medium;M;65
Human Resources;Colombia;Level 1;0;0.4;0.45;2;127;3;0;1;0;low;M;40
IT;Colombia;Level 1;0;0.4;0.45;2;129;3;0;1;0;medium;M;62
Warehouse;Korea;Level 1;0;0.4;0.45;2;138;3;0;1;1;low;F;44
Operations;France;Level 1;0;0.4;0.45;4;147;2;0;0;0;medium;F;60
Sales;Australia;Level 1;1;0.4;0.45;3;227;3;0;0;0;medium;M;23
Finance;France;Level 1;1;0.4;0.45;3;179;2;1;0;0;low;F;47
Human Resources;France;Level 1;0;0.4;0.45;3;100;8;1;0;0;medium;F;53
IT;France;Level 1;1;0.4;0.45;3;104;4;0;0;0;low;F;41
Warehouse;Turkey;Level 1;0;0.4;0.45;2;132;3;0;1;0;low;M;21
Operations;Colombia;Level 1;1;0.4;0.45;2;151;3;0;1;0;low;M;36
Sales;US;Level 1;1;0.4;0.45;2;132;3;0;1;0;low;M;45
Finance;US;VP;1;0.4;0.45;2;135;3;0;1;0;low;M;1
Human Resources;Turkey;Senior Director;1;0.4;0.45;2;156;3;0;1;0;medium;M;17
IT;US;Senior Director;1;0.4;0.45;2;131;3;0;1;0;low;F;45
Warehouse;Japan;Senior Director;1;0.4;0.45;2;142;3;0;1;0;low;F;20
Operations;UK;Director;1;0.4;0.45;2;156;3;0;1;0;medium;M;16
Sales;France;Director;1;0.4;0.45;6;218;4;0;1;0;low;F;44
Finance;US;Director;0;0.4;0.45;2;126;3;0;1;0;medium;F;29
Human Resources;Turkey;Director;0;0.4;0.45;2;144;3;1;1;0;low;M;43
IT;Korea;Director;1;0.4;0.45;2;154;3;1;1;0;medium;F;38
Warehouse;UK;Director;0;0.4;0.45;2;134;3;0;1;0;medium;M;12
Operations;China;Senior Manager;1;0.4;0.45;2;149;3;0;1;0;low;M;12
Sales;US;Senior Manager;1;0.4;0.45;2;140;3;0;1;0;medium;F;23
Finance;Australia;Senior Manager;0;0.4;0.46;2;128;3;0;1;0;low;F;40
Human Resources;Australia;Senior Manager;1;0.4;0.46;2;137;3;0;1;0;low;M;11
IT;US;Senior Manager;0;0.4;0.46;2;127;3;0;1;0;low;M;2
Warehouse;Turkey;Senior Manager;0;0.4;0.46;2;140;3;0;1;0;low;M;25
Operations;Japan;Senior Manager;1;0.4;0.46;2;150;3;0;1;0;medium;F;30
Sales;US;Senior Manager;1;0.4;0.46;7;224;5;0;1;0;medium;F;20
Finance;US;Senior Manager;1;0.4;0.46;2;132;3;0;1;0;low;F;26
Human Resources;France;Senior Manager;0;0.4;0.46;2;135;3;0;1;0;low;F;49
IT;China;Senior Manager;0;0.4;0.46;2;151;3;0;1;0;low;F;5
Warehouse;Turkey;Senior Manager;1;0.4;0.46;2;160;3;0;1;1;low;F;30
Operations;Korea;Manager;0;0.4;0.46;2;127;3;0;1;0;medium;F;38
Sales;Colombia;Manager;1;0.4;0.46;2;143;3;0;1;0;medium;F;7
Finance;Japan;Manager;1;0.4;0.46;2;156;3;0;1;0;low;M;5
Human Resources;Australia;Manager;0;0.4;0.46;2;153;3;0;1;0;low;F;58
IT;France;Manager;1;0.4;0.46;2;158;3;0;1;0;low;M;36
Warehouse;China;Manager;1;0.4;0.46;2;156;3;0;1;0;low;F;35
Operations;China;Manager;1;0.4;0.46;2;155;3;0;1;0;low;F;32
Sales;UK;Manager;0;0.4;0.46;2;154;3;0;1;0;medium;M;25
Finance;France;Manager;0;0.4;0.46;2;128;3;0;1;0;low;M;3
Human Resources;Turkey;Manager;1;0.4;0.46;2;149;3;0;1;0;high;F;41
IT;China;Manager;0;0.4;0.46;2;153;3;0;1;0;low;M;53
Warehouse;Korea;Manager;1;0.4;0.46;2;130;3;0;1;0;low;M;62
Operations;Colombia;Manager;0;0.4;0.46;2;149;3;0;1;0;medium;F;46
Sales;Colombia;Manager;1;0.4;0.46;2;145;3;0;1;0;medium;M;31
Finance;UK;Manager;0;0.4;0.46;2;128;3;0;1;0;low;F;54
Human Resources;UK;Manager;1;0.4;0.46;2;143;3;0;1;0;high;F;19
IT;France;Manager;0;0.4;0.46;2;130;3;0;1;0;low;F;40
Warehouse;Turkey;Manager;1;0.4;0.46;2;143;3;0;1;0;low;M;37
Operations;China;Manager;1;0.4;0.46;4;214;4;0;1;0;medium;F;29
Sales;Colombia;Manager;1;0.4;0.46;2;157;3;0;1;0;low;M;13
Finance;Japan;Manager;1;0.4;0.46;2;156;3;1;1;0;low;M;7
Human Resources;Turkey;Manager;1;0.4;0.46;2;136;3;0;1;0;medium;M;24
IT;France;Level 2-4;0;0.4;0.46;2;149;3;0;1;0;low;M;38
Warehouse;Colombia;Level 2-4;0;0.4;0.46;2;149;3;0;1;0;medium;F;44
Operations;UK;Level 2-4;0;0.4;0.46;2;153;3;1;1;0;medium;F;46
Sales;China;Level 2-4;1;0.4;0.46;2;159;3;0;1;0;medium;M;54
Finance;Australia;Level 2-4;0;0.4;0.46;2;141;3;0;1;0;medium;F;31
Human Resources;UK;Level 2-4;1;0.4;0.46;2;132;3;0;1;0;low;M;53
IT;UK;Level 2-4;1;0.4;0.46;2;156;3;0;1;0;low;F;10
Warehouse;China;Level 2-4;0;0.4;0.46;2;128;3;0;1;0;low;F;17
Operations;US;Level 2-4;1;0.4;0.46;2;142;3;0;1;0;low;F;9
Sales;China;Level 2-4;0;0.4;0.46;2;131;3;0;1;0;low;F;12
Finance;UK;Level 2-4;1;0.4;0.46;2;131;3;0;1;0;low;F;29
Human Resources;UK;Level 2-4;0;0.4;0.46;2;147;3;0;1;0;low;F;39
IT;France;Level 2-4;0;0.4;0.46;2;144;3;0;1;0;low;M;28
Warehouse;US;Level 2-4;1;0.4;0.46;2;144;3;0;1;0;low;F;27
Operations;US;Level 2-4;0;0.4;0.46;2;155;3;0;1;0;medium;F;22
Sales;US;Level 2-4;0;0.4;0.46;2;157;3;0;1;0;medium;M;44
Finance;Korea;Level 2-4;1;0.4;0.46;2;129;3;0;1;0;low;M;28
Human Resources;UK;Level 2-4;0;0.4;0.46;2;153;3;0;1;0;low;F;57
IT;France;Level 2-4;0;0.4;0.46;2;149;3;0;1;0;low;F;25
Warehouse;Turkey;Level 2-4;0;0.4;0.46;2;131;3;0;1;0;medium;M;54
Operations;Colombia;Level 2-4;0;0.4;0.46;2;132;3;0;1;0;low;M;22
Sales;UK;Level 2-4;0;0.4;0.46;2;129;3;0;1;0;low;M;10
Finance;Turkey;Level 2-4;0;0.4;0.46;2;146;3;0;1;0;low;F;65
Human Resources;France;Level 2-4;1;0.4;0.46;2;134;3;0;1;0;low;M;19
IT;US;Level 2-4;0;0.4;0.46;2;127;3;0;1;0;low;M;42
Warehouse;France;Level 2-4;1;0.4;0.46;2;142;3;0;1;0;medium;F;24
Operations;US;Level 2-4;1;0.4;0.46;2;154;3;0;1;0;low;M;35
Sales;Australia;Level 2-4;0;0.4;0.46;2;145;3;0;1;0;high;M;55
Finance;US;Level 2-4;0;0.4;0.46;2;134;3;0;1;0;medium;M;27
Human Resources;China;Level 2-4;1;0.4;0.46;2;143;3;0;1;0;low;M;48
IT;Japan;Level 2-4;1;0.4;0.46;2;145;3;0;1;0;low;F;4
Warehouse;France;Level 2-4;1;0.4;0.46;2;146;3;0;1;0;low;M;15
Operations;Colombia;Level 2-4;1;0.4;0.46;2;140;3;0;1;0;low;M;8
Sales;US;Level 2-4;0;0.4;0.46;2;155;3;0;1;0;low;M;19
Finance;Australia;Level 2-4;1;0.4;0.46;2;160;3;0;1;0;low;F;27
Human Resources;Colombia;Level 2-4;0;0.4;0.46;2;155;3;0;1;0;medium;M;57
IT;Korea;Level 2-4;1;0.4;0.46;2;157;3;0;1;0;medium;M;11
Warehouse;France;Level 2-4;1;0.4;0.46;2;156;3;0;1;0;medium;F;59
Operations;Colombia;Level 2-4;1;0.4;0.46;5;220;4;0;1;0;low;M;53
Sales;Australia;Level 2-4;1;0.4;0.46;2;129;3;0;1;0;medium;M;52
Finance;US;Level 2-4;0;0.4;0.46;2;132;3;0;1;0;low;M;48
Human Resources;US;Level 2-4;0;0.4;0.46;2;147;3;0;1;0;low;M;7
IT;US;Level 2-4;0;0.4;0.46;2;156;3;0;1;0;low;F;43
Warehouse;Japan;Level 2-4;0;0.4;0.46;2;130;3;0;1;0;low;M;61
Operations;France;Level 2-4;0;0.4;0.46;2;135;3;0;1;0;low;F;62
Sales;US;Level 2-4;1;0.4;0.46;2;130;3;1;1;0;medium;F;37
Finance;China;Level 2-4;0;0.4;0.46;2;141;3;0;1;0;low;M;41
Human Resources;Japan;Level 2-4;0;0.4;0.46;2;126;3;0;1;0;medium;M;9
IT;Turkey;Level 2-4;1;0.4;0.46;2;157;3;0;1;0;medium;F;30
Warehouse;China;Level 2-4;0;0.4;0.46;2;242;3;0;1;0;low;F;10
Operations;Colombia;Level 2-4;1;0.4;0.46;2;160;3;0;1;0;low;F;13
Sales;France;Level 2-4;1;0.4;0.46;2;127;3;0;1;0;medium;F;13
Finance;China;Level 2-4;0;0.4;0.46;2;150;3;1;1;0;low;F;34
Human Resources;China;Level 2-4;1;0.4;0.46;2;138;3;0;1;0;low;F;27
IT;Colombia;Level 2-4;0;0.4;0.46;2;157;3;0;1;0;medium;M;53
Warehouse;Colombia;Level 2-4;0;0.4;0.46;2;159;3;0;1;0;high;F;22
Operations;US;Level 2-4;1;0.4;0.46;2;149;3;0;1;0;low;M;3
Sales;US;Level 2-4;0;0.4;0.46;2;157;3;0;1;0;medium;M;27
Finance;France;Level 2-4;0;0.4;0.46;4;143;3;0;0;0;low;M;56
Human Resources;UK;Level 2-4;0;0.4;0.46;4;204;4;0;0;0;low;M;23
IT;China;Level 2-4;1;0.4;0.46;6;145;3;0;0;0;low;M;38
Warehouse;Australia;Level 2-4;1;0.4;0.46;2;267;6;1;0;0;low;F;65
Operations;Korea;Level 2-4;0;0.4;0.46;2;169;2;1;0;0;low;M;22
Sales;France;Level 1;1;0.4;0.46;5;195;5;0;0;0;low;F;32
Finance;US;Level 1;1;0.4;0.46;3;128;2;1;0;0;low;F;57
